time	message	trial_number
274561.1885	REC_START	49
274561.2215	TRIAL_START 48	49
277193.5602	TRIAL_END 48	49
277193.56299999997	REC_STOP	49
277981.79669999995	REC_START	50
277981.8279	TRIAL_START 49	50
281025.7157	TRIAL_END 49	50
281025.7205	REC_STOP	50
282058.0708	REC_START	51
282058.1025	TRIAL_START 50	51
286278.3647	TRIAL_END 50	51
286278.368	REC_STOP	51
287133.0086	REC_START	52
287133.0503	TRIAL_START 51	52
289866.1702	TRIAL_END 51	52
289866.1725	REC_STOP	52
290697.861	REC_START	53
290697.8928	TRIAL_START 52	53
293564.5751	TRIAL_END 52	53
293564.57779999997	REC_STOP	53
294407.75889999996	REC_START	54
294407.8038	TRIAL_START 53	54
297273.98089999997	TRIAL_END 53	54
297273.984	REC_STOP	54
298172.6668	REC_START	55
298172.6994	TRIAL_START 54	55
302105.0748	TRIAL_END 54	55
302105.07759999996	REC_STOP	55
302926.29539999994	REC_START	56
302926.3267	TRIAL_START 55	56
305970.2289	TRIAL_END 55	56
305970.23179999995	REC_STOP	56
306713.1442	REC_START	57
306713.174	TRIAL_START 56	57
310911.665	TRIAL_END 56	57
310911.6674	REC_STOP	57
311943.89389999997	REC_START	58
311943.92439999996	TRIAL_START 57	58
314899.5445	TRIAL_END 57	58
314899.5472	REC_STOP	58
315864.83770000003	REC_START	59
315864.892	TRIAL_START 58	59
318520.1866	TRIAL_END 58	59
318520.1895	REC_STOP	59
319362.89519999997	REC_START	60
319362.927	TRIAL_START 59	60
322474.24559999997	TRIAL_END 59	60
322474.2488	REC_STOP	60
323350.4371	REC_START	61
323350.4714	TRIAL_START 60	61
326138.88399999996	TRIAL_END 60	61
326138.8864	REC_STOP	61
326926.6167	REC_START	62
326926.6482	TRIAL_START 61	62
329604.0519	TRIAL_END 61	62
329604.0544	REC_STOP	62
330358.13609999995	REC_START	63
330358.16919999995	TRIAL_START 62	63
332969.3163	TRIAL_END 62	63
332969.3191	REC_STOP	63
333868.0066	REC_START	64
333868.04219999997	TRIAL_START 63	64
337689.3416	TRIAL_END 63	64
337689.34459999995	REC_STOP	64
338610.2091	REC_START	65
338610.2421	TRIAL_START 64	65
341665.4357	TRIAL_END 64	65
341665.43809999997	REC_STOP	65
342475.4365	REC_START	66
342475.4848	TRIAL_START 65	66
346973.82849999995	TRIAL_END 65	66
346973.8309	REC_STOP	66
347838.5533	REC_START	67
347838.6011	TRIAL_START 66	67
350771.8696	TRIAL_END 66	67
350771.872	REC_STOP	67
351582.1883	REC_START	68
351582.2232	TRIAL_START 67	68
354304.19039999996	TRIAL_END 67	68
354304.19299999997	REC_STOP	68
355079.7842	REC_START	69
355079.81680000003	TRIAL_START 68	69
357802.8132	TRIAL_END 68	69
357802.81659999996	REC_STOP	69
358567.6201	REC_START	70
358567.65150000004	TRIAL_START 69	70
361400.7208	TRIAL_END 69	70
361400.72329999995	REC_STOP	70
362266.097	REC_START	71
362266.12789999996	TRIAL_START 70	71
367098.4825	TRIAL_END 70	71
367098.48539999995	REC_STOP	71
368085.28229999996	REC_START	72
368085.31389999995	TRIAL_START 71	72
370785.54959999997	TRIAL_END 71	72
370785.55199999997	REC_STOP	72
371561.98699999996	REC_START	73
371562.018	TRIAL_START 72	73
374316.8821	TRIAL_END 72	73
374316.88499999995	REC_STOP	73
375138.157	REC_START	74
375138.1914	TRIAL_START 73	74
378171.25299999997	TRIAL_END 73	74
378171.2557	REC_STOP	74
379081.04809999996	REC_START	75
379081.081	TRIAL_START 74	75
382113.8377	TRIAL_END 74	75
382113.8411	REC_STOP	75
383267.6743	REC_START	76
383267.7059	TRIAL_START 75	76
386189.8891	TRIAL_END 75	76
386189.89239999995	REC_STOP	76
387132.7536	REC_START	77
387132.7865	TRIAL_START 76	77
389855.0212	TRIAL_END 76	77
389855.0237	REC_STOP	77
390864.7791	REC_START	78
390864.811	TRIAL_START 77	78
394963.3991	TRIAL_END 77	78
394963.4017	REC_STOP	78
395828.5699	REC_START	79
395828.6141	TRIAL_START 78	79
398906.4189	TRIAL_END 78	79
398906.42199999996	REC_STOP	79
400038.4032	REC_START	80
400038.436	TRIAL_START 79	80
403193.5	TRIAL_END 79	80
403193.5026	REC_STOP	80
