RT	_end_tick	_end_time	_original_idx	_start_tick	_start_time	_trial_number	correct	feedback	fix_onset_time	go_time	hemifield	hit_x	hit_y	hit_z	pro	reach_time	start_time	target
3476.9428999999946	108.4533725	101631.10829999999	0	102.88405089999999	96061.78629999999	1	True	0	102951.2438	104972.2276	left	-0.3608102798461914	1.3056389093399048	0.4503864049911499	1	108449.1705	121176.1191	left
256.4514000000054	123.75759629999999	116935.3318	1	121.17614139999999	114353.8769	2	True	1	121476.3243	123496.42109999999	left	-0.2830921411514282	1.3412725925445557	0.4509086608886719	1	123752.8725	127850.7502	left
1110.711500000005	131.29889219999998	124476.6278	2	127.85077229999999	121028.5079	3	True	1	128162.09659999999	130183.6304	right	0.4087275266647339	1.358621597290039	0.4573476314544678	1	131294.3419	133737.0968	right
999.8904000000039	137.0411215	130218.8574	3	133.7371214	126914.8569	4	True	0	134015.0497	136036.314	right	0.3568856120109558	1.3679455518722534	0.4586888551712036	0	137036.20440000002	139134.3315	left
999.9966999999888	142.43800769999999	135615.7431	4	139.1343545	132312.09000000003	5	True	0	139423.47129999998	141433.6517	left	-0.26876336336135864	1.3152836561203003	0.45372819900512695	1	142433.64839999998	144610.09679999997	left
844.2612000000081	147.7027075	140880.4434	5	144.6101204	137787.856	6	True	1	144832.46099999998	146853.91509999998	right	0.3275951147079468	1.338860273361206	0.4538065195083618	0	147698.1763	151140.2783	left
922.1503000000084	154.1004599	147278.1954	6	151.1403013	144318.0368	7	True	0	151151.7858	153173.2591	right	0.3915208578109741	1.3324384689331055	0.45318853855133057	1	154095.4094	156027.0344	right
1466.435300000012	159.520031	152697.76669999998	7	156.02705699999999	149204.7924	8	True	1	156038.39289999998	158048.8933	right	0.35909193754196167	1.3512071371078491	0.4539361000061035	1	159515.3286	161579.8326	right
1044.218600000022	164.6513914	157829.1272	8	161.5798551	154757.5908	9	True	1	161591.213	163601.7916	right	0.31035906076431274	1.3196818828582764	0.450667142868042	0	164646.01020000002	166432.8468	left
1010.9810000000289	169.7261691	162903.9045	9	166.4328689	159610.6044	10	True	1	166689.3073	168710.91239999997	right	0.3573588728904724	1.3308066129684448	0.4567793607711792	1	169721.8934	171763.9017	right
1066.0727000000188	174.8565937	168034.3297	10	171.763923	164941.65860000002	11	True	1	171775.1912	173786.31759999998	left	-0.1940978765487671	1.3421026468276978	0.4508591890335083	0	174852.3903	176362.72699999998	right
1088.5548999999883	179.7545446	172932.2808	11	176.3627524	169540.48839999997	12	True	1	176640.23179999998	178661.7713	right	0.29663246870040894	1.2913026809692383	0.4544391632080078	0	179750.32619999998	181604.83529999998	left
1066.4739000000118	184.70863849999998	177886.3739	12	181.60487	174782.60570000001	13	True	1	181616.3027	183637.5267	right	0.3558366298675537	1.3236205577850342	0.4548085927963257	1	184704.0006	186280.1809	right
1255.833500000008	189.9733551	183151.09050000002	13	186.2802032	179457.93850000002	14	True	0	186702.3494	188712.4747	right	0.34808212518692017	1.3521353006362915	0.4537595510482788	1	189968.3082	191822.3038	right
1233.0641000000178	195.34810879999998	188525.8445	14	191.822328	185000.06350000002	15	True	0	192089.3376	194110.63079999998	left	-0.2104550004005432	1.3166108131408691	0.4539637565612793	0	195343.6949	197130.9483	right
1055.3485000000219	200.2350262	193412.7618	15	197.13097	190308.7059	16	True	1	197153.40589999998	199174.46659999999	right	0.34416598081588745	1.3121988773345947	0.4603685140609741	1	200229.8151	201651.02339999998	right
1155.4049999999988	204.8436984	198021.4338	16	201.65104639999998	194828.7819	17	True	0	201662.37389999998	203684.0941	right	0.276020348072052	1.3375475406646729	0.4585392475128174	0	204839.4991	206082.5705	left
1243.5325999999768	209.5967514	202774.4868	17	206.082594	199260.32950000002	18	True	1	206327.30279999998	208348.8352	right	0.25632643699645996	1.3180280923843384	0.4539051055908203	0	209592.36779999998	210969.3204	left
1187.815200000041	214.1940708	207371.8064	18	210.9693427	204147.07820000002	19	True	1	210980.7625	213001.98709999997	left	-0.20102569460868835	1.2931193113327026	0.45558011531829834	0	214189.8023	215478.3216	right
1032.6147000000055	218.8150938	211992.8295	19	215.47834329999998	208656.0788	20	True	1	215756.27539999998	217777.8473	right	0.3690541386604309	1.3390041589736938	0.45790910720825195	1	218810.462	220231.6566	right
