time	message	trial_number
83960.8345	REC_START	1
83960.87090000001	TRIAL_START 0	1
95855.756	TRIAL_END 0	1
95855.7592	REC_STOP	1
97954.5265	REC_START	2
97954.55889999999	TRIAL_START 1	2
100276.32549999999	TRIAL_END 1	2
100276.32849999999	REC_STOP	2
102230.2573	REC_START	3
102230.2911	TRIAL_START 2	3
104574.5049	TRIAL_END 2	3
104574.5077	REC_STOP	3
106317.20449999999	REC_START	4
106317.2376	TRIAL_START 3	4
109472.02519999999	TRIAL_END 3	4
109472.0279	REC_STOP	4
110248.9415	REC_START	5
110248.9734	TRIAL_START 4	5
115114.4365	TRIAL_END 4	5
115114.43879999999	REC_STOP	5
116423.67829999999	REC_START	6
116423.70799999998	TRIAL_START 5	6
119345.91249999999	TRIAL_END 5	6
119345.9163	REC_STOP	6
120000.1149	REC_START	7
120000.14669999998	TRIAL_START 6	7
125931.46149999999	TRIAL_END 6	7
125931.46459999999	REC_STOP	7
127019.32699999999	REC_START	8
127019.3597	TRIAL_START 7	8
129996.16659999998	TRIAL_END 7	8
129996.1693	REC_STOP	8
130706.4211	REC_START	9
130706.4686	TRIAL_START 8	9
133805.52589999998	TRIAL_END 8	9
133805.5285	REC_STOP	9
134548.63689999998	REC_START	10
134548.6687	TRIAL_START 9	10
137725.5877	TRIAL_END 9	10
137725.5901	REC_STOP	10
138536.03830000001	REC_START	11
138536.07080000002	TRIAL_START 10	11
141590.8867	TRIAL_END 10	11
141590.8891	REC_STOP	11
142467.35619999998	REC_START	12
142467.405	TRIAL_START 11	12
144734.0918	TRIAL_END 11	12
144734.0948	REC_STOP	12
146088.28710000002	REC_START	13
146088.3185	TRIAL_START 12	13
149221.2092	TRIAL_END 12	13
149221.2142	REC_STOP	13
150052.7843	REC_START	14
150052.8151	TRIAL_START 13	14
153029.87759999998	TRIAL_END 13	14
153029.88059999997	REC_STOP	14
153762.6703	REC_START	15
153762.71219999998	TRIAL_START 14	15
156317.7882	TRIAL_END 14	15
156317.7911	REC_STOP	15
157078.8015	REC_START	16
157078.8331	TRIAL_START 15	16
159860.46959999998	TRIAL_END 15	16
159860.47199999998	REC_STOP	16
160588.30169999998	REC_START	17
160588.3326	TRIAL_START 16	17
165503.31829999998	TRIAL_END 16	17
165503.3224	REC_STOP	17
166774.41189999998	REC_START	18
166774.4447	TRIAL_START 17	18
169667.4103	TRIAL_END 17	18
169667.4133	REC_STOP	18
170406.2438	REC_START	19
170406.28319999998	TRIAL_START 18	19
173308.9215	TRIAL_END 18	19
173308.9245	REC_STOP	19
174104.67169999998	REC_START	20
174104.706	TRIAL_START 19	20
176597.6039	TRIAL_END 19	20
176597.6062	REC_STOP	20
177547.3278	REC_START	21
177547.3588	TRIAL_START 20	21
180184.52069999996	TRIAL_END 20	21
180184.5241	REC_STOP	21
180868.058	REC_START	22
180868.0881	TRIAL_START 21	22
185871.0592	TRIAL_END 21	22
185871.0615	REC_STOP	22
186865.367	REC_START	23
186865.3984	TRIAL_START 22	23
189580.52709999998	TRIAL_END 22	23
189580.5296	REC_STOP	23
190274.96099999998	REC_START	24
190274.9914	TRIAL_START 23	24
192956.8369	TRIAL_END 23	24
192956.84040000002	REC_STOP	24
193651.295	REC_START	25
193651.3381	TRIAL_START 24	25
196466.24779999998	TRIAL_END 24	25
196466.2504	REC_STOP	25
197205.2181	REC_START	26
197205.25049999997	TRIAL_START 25	26
200109.486	TRIAL_END 25	26
200109.4888	REC_STOP	26
