time	message	trial_number
102884.05739999999	REC_START	1
102884.0879	TRIAL_START 0	1
108449.19309999999	TRIAL_END 0	1
108449.19619999999	REC_STOP	1
121176.14719999999	REC_START	2
121176.1805	TRIAL_START 1	2
123752.8943	TRIAL_END 1	2
123752.8974	REC_STOP	2
127850.77829999999	REC_START	3
127850.8123	TRIAL_START 2	3
131294.36229999998	TRIAL_END 2	3
131294.36479999998	REC_STOP	3
133737.1274	REC_START	4
133737.166	TRIAL_START 3	4
137036.22429999997	TRIAL_END 3	4
137036.22699999998	REC_STOP	4
139134.3602	REC_START	5
139134.39409999998	TRIAL_START 4	5
142433.6812	TRIAL_END 4	5
142433.6856	REC_STOP	5
144610.1273	REC_START	6
144610.1601	TRIAL_START 5	6
147698.196	TRIAL_END 5	6
147698.199	REC_STOP	6
151140.3075	REC_START	7
151140.3402	TRIAL_START 6	7
154095.4339	TRIAL_END 6	7
154095.4373	REC_STOP	7
156027.06279999999	REC_START	8
156027.0956	TRIAL_START 7	8
159515.3503	TRIAL_END 7	8
159515.353	REC_STOP	8
161579.8607	REC_START	9
161579.8926	TRIAL_START 8	9
164646.0317	TRIAL_END 8	9
164646.03499999997	REC_STOP	9
166432.875	REC_START	10
166432.9089	TRIAL_START 9	10
169721.91479999997	TRIAL_END 9	10
169721.9179	REC_STOP	10
171763.92849999998	REC_START	11
171763.9625	TRIAL_START 10	11
174852.4108	TRIAL_END 10	11
174852.4134	REC_STOP	11
176362.7587	REC_START	12
176362.7996	TRIAL_START 11	12
179750.34769999998	TRIAL_END 11	12
179750.3504	REC_STOP	12
181604.8758	REC_START	13
181604.9094	TRIAL_START 12	13
184704.0203	TRIAL_END 12	13
184704.02289999998	REC_STOP	13
186280.20870000002	REC_START	14
186280.2414	TRIAL_START 13	14
189968.32739999998	TRIAL_END 13	14
189968.3303	REC_STOP	14
191822.33349999998	REC_START	15
191822.3668	TRIAL_START 14	15
195343.71719999998	TRIAL_END 14	15
195343.72009999998	REC_STOP	15
197130.9759	REC_START	16
197131.0102	TRIAL_START 15	16
200229.83779999998	TRIAL_END 15	16
200229.8411	REC_STOP	16
201651.05219999998	REC_START	17
201651.0863	TRIAL_START 16	17
204839.5182	TRIAL_END 16	17
204839.5208	REC_STOP	17
206082.5997	REC_START	18
206082.63139999998	TRIAL_START 17	18
209592.3901	TRIAL_END 17	18
209592.3925	REC_STOP	18
210969.34819999998	REC_START	19
210969.38119999997	TRIAL_START 18	19
214189.8253	TRIAL_END 18	19
214189.8282	REC_STOP	19
215478.3486	REC_START	20
215478.38109999997	TRIAL_START 19	20
218810.48299999998	TRIAL_END 19	20
218810.4858	REC_STOP	20
220231.68439999997	REC_START	21
220231.71829999998	TRIAL_START 20	21
223630.3747	TRIAL_END 20	21
223630.37829999998	REC_STOP	21
225073.6145	REC_START	22
225073.6451	TRIAL_START 21	22
228595.47989999998	TRIAL_END 21	22
228595.4826	REC_STOP	22
229960.8681	REC_START	23
229960.9002	TRIAL_START 22	23
233604.13439999998	TRIAL_END 22	23
233604.137	REC_STOP	23
234802.6979	REC_START	24
234802.7321	TRIAL_START 23	24
238224.387	TRIAL_END 23	24
238224.3902	REC_STOP	24
239367.6946	REC_START	25
239367.72759999998	TRIAL_START 24	25
242855.745	TRIAL_END 24	25
242855.7473	REC_STOP	25
243809.9312	REC_START	26
243809.9646	TRIAL_START 25	26
247597.797	TRIAL_END 25	26
247597.80139999997	REC_STOP	26
248717.8774	REC_START	27
248717.9122	TRIAL_START 26	27
252296.23959999997	TRIAL_END 26	27
252296.2435	REC_STOP	27
253572.446	REC_START	28
253572.4777	TRIAL_START 27	28
257215.92269999997	TRIAL_END 27	28
257215.9259	REC_STOP	28
258525.5833	REC_START	29
258525.6169	TRIAL_START 28	29
261702.84729999996	TRIAL_END 28	29
261702.85029999996	REC_STOP	29
262624.0126	REC_START	30
262624.0534	TRIAL_START 29	30
265978.6464	TRIAL_END 29	30
265978.649	REC_STOP	30
267106.10109999997	REC_START	31
267106.1335	TRIAL_START 30	31
270143.4154	TRIAL_END 30	31
270143.41849999997	REC_STOP	31
271142.3098	REC_START	32
271142.3431	TRIAL_START 31	32
274219.4519	TRIAL_END 31	32
274219.45489999995	REC_STOP	32
275640.3955	REC_START	33
275640.43269999995	TRIAL_START 32	33
278706.4901	TRIAL_END 32	33
278706.4939	REC_STOP	33
280249.25609999994	REC_START	34
280249.2887	TRIAL_START 33	34
283270.8426	TRIAL_END 33	34
283270.8455	REC_STOP	34
284180.95999999996	REC_START	35
284180.992	TRIAL_START 34	35
287313.7981	TRIAL_END 34	35
287313.80159999995	REC_STOP	35
288334.6135	REC_START	36
288334.6485	TRIAL_START 35	36
292133.55539999995	TRIAL_END 35	36
292133.558	REC_STOP	36
293166.077	REC_START	37
293166.1161	TRIAL_START 36	37
296242.6639	TRIAL_END 36	37
296242.6665	REC_STOP	37
297164.0087	REC_START	38
297164.043	TRIAL_START 37	38
300596.0235	TRIAL_END 37	38
300596.02589999995	REC_STOP	38
301472.93439999997	REC_START	39
301472.9679	TRIAL_START 38	39
304817.06629999995	TRIAL_END 38	39
304817.07259999996	REC_STOP	39
305926.56269999995	REC_START	40
305926.60219999996	TRIAL_START 39	40
309025.6699	TRIAL_END 39	40
309025.67289999995	REC_STOP	40
310202.5587	REC_START	41
310202.5904	TRIAL_START 40	41
313402.5227	TRIAL_END 40	41
313402.5257	REC_STOP	41
314511.58219999995	REC_START	42
314511.6148	TRIAL_START 41	42
317910.8553	TRIAL_END 41	42
317910.85899999994	REC_STOP	42
318898.40609999996	REC_START	43
318898.4451	TRIAL_START 42	43
322275.4582	TRIAL_END 42	43
322275.4614	REC_STOP	43
323241.4278	REC_START	44
323241.4603	TRIAL_START 43	44
326496.10839999997	TRIAL_END 43	44
326496.1113	REC_STOP	44
327483.71379999997	REC_START	45
327483.7484	TRIAL_START 44	45
330938.45949999994	TRIAL_END 44	45
330938.4624	REC_STOP	45
332081.3639	REC_START	46
332081.4047	TRIAL_START 45	46
335446.8041	TRIAL_END 45	46
335446.80669999996	REC_STOP	46
336690.95219999994	REC_START	47
336690.9861	TRIAL_START 46	47
339790.5682	TRIAL_END 46	47
339790.5709	REC_STOP	47
341011.18409999995	REC_START	48
341011.2178	TRIAL_START 47	48
344043.8987	TRIAL_END 47	48
344043.902	REC_STOP	48
345353.236	REC_START	49
345353.2694	TRIAL_START 48	49
348630.9998	TRIAL_END 48	49
348631.0033	REC_STOP	49
349762.65469999996	REC_START	50
349762.68749999994	TRIAL_START 49	50
352639.95009999996	TRIAL_END 49	50
352639.9523	REC_STOP	50
354027.457	REC_START	51
354027.4895	TRIAL_START 50	51
357104.33339999994	TRIAL_END 50	51
357104.3358	REC_STOP	51
358247.91289999994	REC_START	52
358247.9459	TRIAL_START 51	52
361436.296	TRIAL_END 51	52
361436.2986	REC_STOP	52
362190.4609	REC_START	53
362190.4937	TRIAL_START 52	53
365056.53179999994	TRIAL_END 52	53
365056.53489999997	REC_STOP	53
366233.1643	REC_START	54
366233.2104	TRIAL_START 53	54
369065.89170000004	TRIAL_END 53	54
369065.89449999994	REC_STOP	54
370097.8541	REC_START	55
370097.8874	TRIAL_START 54	55
373386.29099999997	TRIAL_END 54	55
373386.29349999997	REC_STOP	55
374151.95	REC_START	56
374151.9923	TRIAL_START 55	56
377217.8366	TRIAL_END 55	56
377217.83969999995	REC_STOP	56
378038.54179999995	REC_START	57
378038.5741	TRIAL_START 56	57
381182.91099999996	TRIAL_END 56	57
381182.9152	REC_STOP	57
382181.7475	REC_START	58
382181.79219999997	TRIAL_START 57	58
385125.426	TRIAL_END 57	58
385125.4287	REC_STOP	58
386235.15829999995	REC_START	59
386235.19149999996	TRIAL_START 58	59
389434.3697	TRIAL_END 58	59
389434.37309999997	REC_STOP	59
390266.933	REC_START	60
390266.9653	TRIAL_START 59	60
393377.09209999995	TRIAL_END 59	60
393377.0952	REC_STOP	60
394354.08739999996	REC_START	61
394354.11929999996	TRIAL_START 60	61
397664.21499999997	TRIAL_END 60	61
397664.21739999996	REC_STOP	61
398662.72229999996	REC_START	62
398662.7543	TRIAL_START 61	62
402317.7273	TRIAL_END 61	62
402317.7305	REC_STOP	62
403460.92929999996	REC_START	63
403460.963	TRIAL_START 62	63
406337.8179	TRIAL_END 62	63
406337.8206	REC_STOP	63
407469.8721	REC_START	64
407469.90489999996	TRIAL_START 63	64
410769.53329999995	TRIAL_END 63	64
410769.53620000003	REC_STOP	64
411657.3954	REC_START	65
411657.4285	TRIAL_START 64	65
414834.2537	TRIAL_END 64	65
414834.2566	REC_STOP	65
416066.4559	REC_START	66
416066.49009999994	TRIAL_START 65	66
419321.256	TRIAL_END 65	66
419321.259	REC_STOP	66
420086.53010000003	REC_START	67
420086.5612	TRIAL_START 66	67
423020.0192	TRIAL_END 66	67
423020.0229	REC_STOP	67
424007.52489999996	REC_START	68
424007.55809999997	TRIAL_START 67	68
427140.26839999994	TRIAL_END 67	68
427140.272	REC_STOP	68
427972.2631	REC_START	69
427972.2973	TRIAL_START 68	69
431204.82649999997	TRIAL_END 68	69
431204.8304	REC_STOP	69
431344.7167	REC_START	70
431344.74899999995	TRIAL_START 69	70
434703.4017	TRIAL_END 69	70
434703.4041	REC_STOP	70
435701.9194	REC_START	71
435701.9516	TRIAL_START 70	71
438912.46689999994	TRIAL_END 70	71
438912.46939999994	REC_STOP	71
439977.70769999997	REC_START	72
439977.7401	TRIAL_START 71	72
443188.26999999996	TRIAL_END 71	72
443188.27249999996	REC_STOP	72
444220.3455	REC_START	73
444220.37789999996	TRIAL_START 72	73
447186.3562	TRIAL_END 72	73
447186.3587	REC_STOP	73
447684.30279999995	REC_START	74
447684.3356	TRIAL_START 73	74
450973.77119999996	TRIAL_END 73	74
450973.774	REC_STOP	74
451280.2392	REC_START	75
451280.2741999999	TRIAL_START 74	75
454405.8258	TRIAL_END 74	75
454405.82839999994	REC_STOP	75
455693.0971	REC_START	76
455693.1294	TRIAL_START 75	76
458725.79279999994	TRIAL_END 75	76
458725.795	REC_STOP	76
459735.83349999995	REC_START	77
459735.86669999996	TRIAL_START 76	77
462812.4699	TRIAL_END 76	77
462812.4728	REC_STOP	77
464055.8857	REC_START	78
464055.926	TRIAL_START 77	78
467044.4263	TRIAL_END 77	78
467044.4287	REC_STOP	78
467965.26519999997	REC_START	79
467965.2976	TRIAL_START 78	79
471386.5861	TRIAL_END 78	79
471386.58879999997	REC_STOP	79
472296.66649999993	REC_START	80
472296.698	TRIAL_START 79	80
475818.10299999994	TRIAL_END 79	80
475818.1057	REC_STOP	80
