time	message	trial_number
73691.7747	REC_START	1
73691.8032	TRIAL_START 0	1
76502.9737	TRIAL_END 0	1
76502.9764	REC_STOP	1
77612.87039999999	REC_START	2
77612.89959999999	TRIAL_START 1	2
80134.6471	TRIAL_END 1	2
80134.6495	REC_STOP	2
81217.7774	REC_START	3
81217.8129	TRIAL_START 2	3
83744.3028	TRIAL_END 2	3
83744.3057	REC_STOP	3
84738.39540000001	REC_START	4
84738.4254	TRIAL_START 3	4
87165.0037	TRIAL_END 3	4
87165.0061	REC_STOP	4
88270.16949999999	REC_START	5
88270.20859999998	TRIAL_START 4	5
90752.27769999999	TRIAL_END 4	5
90752.28009999999	REC_STOP	5
91768.61219999999	REC_START	6
91768.64159999999	TRIAL_START 5	6
94161.88609999999	TRIAL_END 5	6
94161.8903	REC_STOP	6
95267.03769999999	REC_START	7
95267.0668	TRIAL_START 6	7
97904.3104	TRIAL_END 6	7
97904.313	REC_STOP	7
98787.6716	REC_START	8
98787.7013	TRIAL_START 7	8
101236.3778	TRIAL_END 7	8
101236.3802	REC_STOP	8
102263.8913	REC_START	9
102263.9279	TRIAL_START 8	9
104901.2987	TRIAL_END 8	9
104901.30279999999	REC_STOP	9
105806.78899999999	REC_START	10
105806.8198	TRIAL_START 9	10
108422.2094	TRIAL_END 9	10
108422.2116	REC_STOP	10
109516.2665	REC_START	11
109516.2969	TRIAL_START 10	11
111942.53069999999	TRIAL_END 10	11
111942.5333	REC_STOP	11
112948.2252	REC_START	12
112948.27119999999	TRIAL_START 11	12
115251.6627	TRIAL_END 11	12
115251.665	REC_STOP	12
116357.59240000001	REC_START	13
116357.6229	TRIAL_START 12	13
118851.2317	TRIAL_END 12	13
118851.23499999999	REC_STOP	13
119878.30539999998	REC_START	14
119878.33619999999	TRIAL_START 13	14
122282.7809	TRIAL_END 13	14
122282.78379999999	REC_STOP	14
123354.4579	REC_START	15
123354.49	TRIAL_START 14	15
125723.782	TRIAL_END 14	15
125723.7849	REC_STOP	15
126797.37659999999	REC_START	16
126797.40779999999	TRIAL_START 15	16
129290.6974	TRIAL_END 15	16
129290.6998	REC_STOP	16
130295.91059999999	REC_START	17
130295.94219999999	TRIAL_START 16	17
132899.8119	TRIAL_END 16	17
132899.81470000002	REC_STOP	17
133727.5943	REC_START	18
133727.62939999998	TRIAL_START 17	18
136676.1249	TRIAL_END 17	18
136676.1274	REC_STOP	18
137359.3637	REC_START	19
137359.3957	TRIAL_START 18	19
139619.7015	TRIAL_END 18	19
139619.704	REC_STOP	19
140713.38439999998	REC_START	20
140713.4222	TRIAL_START 19	20
143028.64729999998	TRIAL_END 19	20
143028.6496	REC_STOP	20
144045.22819999998	REC_START	21
144045.2627	TRIAL_START 20	21
146382.26359999998	TRIAL_END 20	21
146382.26609999998	REC_STOP	21
147465.94249999998	REC_START	22
147465.9748	TRIAL_START 21	22
149892.54080000002	TRIAL_END 21	22
149892.5442	REC_STOP	22
151108.6935	REC_START	23
151108.72809999998	TRIAL_START 22	23
153757.5097	TRIAL_END 22	23
153757.5121	REC_STOP	23
154729.3626	REC_START	24
154729.39370000002	TRIAL_START 23	24
157354.7633	TRIAL_END 23	24
157354.7666	REC_STOP	24
158483.2065	REC_START	25
158483.23729999998	TRIAL_START 24	25
161453.9452	TRIAL_END 24	25
161453.9486	REC_STOP	25
162392.5354	REC_START	26
162392.5807	TRIAL_START 25	26
165185.54559999998	TRIAL_END 25	26
165185.5482	REC_STOP	26
166046.6069	REC_START	27
166046.64979999998	TRIAL_START 26	27
168695.16830000002	TRIAL_END 26	27
168695.1715	REC_STOP	27
169589.37209999998	REC_START	28
169589.4042	TRIAL_START 27	28
172360.109	TRIAL_END 27	28
172360.1117	REC_STOP	28
