time	message	trial_number
97592.5434	REC_START	1
97592.58099999999	TRIAL_START 0	1
104978.86439999999	TRIAL_END 0	1
104978.8676	REC_STOP	1
109598.2524	REC_START	2
109598.2857	TRIAL_START 1	2
112819.6103	TRIAL_END 1	2
112819.6131	REC_STOP	2
121570.735	REC_START	3
121570.7685	TRIAL_START 2	3
124748.0523	TRIAL_END 2	3
124748.0547	REC_STOP	3
128067.7891	REC_START	4
128067.82049999999	TRIAL_START 3	4
131133.81999999998	TRIAL_END 3	4
131133.8226	REC_STOP	4
135974.59290000002	REC_START	5
135974.6237	TRIAL_START 4	5
139229.9551	TRIAL_END 4	5
139229.9576	REC_STOP	5
143616.4562	REC_START	6
143616.488	TRIAL_START 5	6
147692.9557	TRIAL_END 5	6
147692.9583	REC_STOP	6
152256.8834	REC_START	7
152256.9143	TRIAL_START 6	7
156399.99899999998	TRIAL_END 6	7
156400.0015	REC_STOP	7
161886.16619999998	REC_START	8
161886.1977	TRIAL_START 7	8
165851.4936	TRIAL_END 7	8
165851.4961	REC_STOP	8
167805.0765	REC_START	9
167805.1487	TRIAL_START 8	9
171593.4936	TRIAL_END 8	9
171593.49599999998	REC_STOP	9
174780.061	REC_START	10
174780.1328	TRIAL_START 9	10
177990.0513	TRIAL_END 9	10
177990.05399999997	REC_STOP	10
180199.4501	REC_START	11
180199.48119999998	TRIAL_START 10	11
183665.0091	TRIAL_END 10	11
183665.0118	REC_STOP	11
187085.6163	REC_START	12
187085.6475	TRIAL_START 11	12
190296.2829	TRIAL_END 11	12
190296.2854	REC_STOP	12
195570.8555	REC_START	13
195570.90449999998	TRIAL_START 12	13
198925.0765	TRIAL_END 12	13
198925.0796	REC_STOP	13
203522.7573	REC_START	14
203522.79049999997	TRIAL_START 13	14
206733.1665	TRIAL_END 13	14
206733.1691	REC_STOP	14
209786.78399999999	REC_START	15
209786.8174	TRIAL_START 14	15
213185.65099999998	TRIAL_END 14	15
213185.6536	REC_STOP	15
216039.3948	REC_START	16
216039.42680000002	TRIAL_START 15	16
219338.69939999998	TRIAL_END 15	16
219338.702	REC_STOP	16
220981.4936	REC_START	17
220981.5251	TRIAL_START 16	17
224280.1658	TRIAL_END 16	17
224280.16839999997	REC_STOP	17
226523.54789999998	REC_START	18
226523.5788	TRIAL_START 17	18
229745.04679999998	TRIAL_END 17	18
229745.0494	REC_STOP	18
232087.85119999998	REC_START	19
232087.88249999998	TRIAL_START 18	19
235631.1921	TRIAL_END 18	19
235631.1947	REC_STOP	19
237229.9079	REC_START	20
237229.9393	TRIAL_START 19	20
240584.5158	TRIAL_END 19	20
240584.5185	REC_STOP	20
241905.68979999996	REC_START	21
241905.7225	TRIAL_START 20	21
245104.8644	TRIAL_END 20	21
245104.867	REC_STOP	21
246592.1655	REC_START	22
246592.1955	TRIAL_START 21	22
249335.86179999998	TRIAL_END 21	22
249335.8647	REC_STOP	22
250934.6408	REC_START	23
250934.6713	TRIAL_START 22	23
254523.62689999997	TRIAL_END 22	23
254523.63249999998	REC_STOP	23
256332.41420000003	REC_START	24
256332.4459	TRIAL_START 23	24
260120.38289999997	TRIAL_END 23	24
260120.38530000002	REC_STOP	24
262285.2135	REC_START	25
262285.2464	TRIAL_START 24	25
267350.34969999996	TRIAL_END 24	25
267350.3524	REC_STOP	25
268959.3268	REC_START	26
268959.35850000003	TRIAL_START 25	26
272425.2717	TRIAL_END 25	26
272425.2742	REC_STOP	26
274612.9891	REC_START	27
274613.02259999997	TRIAL_START 26	27
277967.9501	TRIAL_END 26	27
277967.9527	REC_STOP	27
279855.40959999996	REC_START	28
279855.4419	TRIAL_START 27	28
282887.31259999995	TRIAL_END 27	28
282887.3152	REC_STOP	28
285852.5595	REC_START	29
285852.59109999996	TRIAL_START 28	29
288940.66479999997	TRIAL_END 28	29
288940.6678	REC_STOP	29
290927.7685	REC_START	30
290927.7998	TRIAL_START 29	30
294038.37049999996	TRIAL_END 29	30
294038.37340000004	REC_STOP	30
296358.80819999997	REC_START	31
296358.8391	TRIAL_START 30	31
299480.3931	TRIAL_END 30	31
299480.3963	REC_STOP	31
301156.7233	REC_START	32
301156.7619	TRIAL_START 31	32
304666.9951	TRIAL_END 31	32
304666.9978	REC_STOP	32
306420.2365	REC_START	33
306420.26949999994	TRIAL_START 32	33
309375.9701	TRIAL_END 32	33
309375.9731	REC_STOP	33
311951.545	REC_START	34
311951.5795	TRIAL_START 33	34
315017.1049	TRIAL_END 33	34
315017.108	REC_STOP	34
316538.82239999995	REC_START	35
316538.85529999994	TRIAL_START 34	35
319493.508	TRIAL_END 34	35
319493.51039999997	REC_STOP	35
321424.77609999996	REC_START	36
321424.8097	TRIAL_START 35	36
324269.0556	TRIAL_END 35	36
324269.05799999996	REC_STOP	36
326556.6303	REC_START	37
326556.6692	TRIAL_START 36	37
329455.78789999994	TRIAL_END 36	37
329455.7916	REC_STOP	37
331409.3245	REC_START	38
331409.3575	TRIAL_START 37	38
334986.61809999996	TRIAL_END 37	38
334986.6215	REC_STOP	38
336707.1159	REC_START	39
336707.1465	TRIAL_START 38	39
339962.3011	TRIAL_END 38	39
339962.3049	REC_STOP	39
341860.46379999997	REC_START	40
341860.4974	TRIAL_START 39	40
345526.4885	TRIAL_END 39	40
345526.4924	REC_STOP	40
347757.8243	REC_START	41
347757.855	TRIAL_START 40	41
350889.79610000004	TRIAL_END 40	41
350889.79919999995	REC_STOP	41
352666.6894	REC_START	42
352666.7215	TRIAL_START 41	42
356043.4131	TRIAL_END 41	42
356043.4162	REC_STOP	42
357398.08589999995	REC_START	43
357398.1161	TRIAL_START 42	43
361118.7551	TRIAL_END 42	43
361118.7573	REC_STOP	43
362440.0721	REC_START	44
362440.1054	TRIAL_START 43	44
365716.7722	TRIAL_END 43	44
365716.77489999996	REC_STOP	44
367570.7888	REC_START	45
367570.8214	TRIAL_START 44	45
371103.5953	TRIAL_END 44	45
371103.59849999996	REC_STOP	45
373479.89509999997	REC_START	46
373479.92699999997	TRIAL_START 45	46
377278.57619999995	TRIAL_END 45	46
377278.5809	REC_STOP	46
379843.0267	REC_START	47
379843.06039999996	TRIAL_START 46	47
384231.2167	TRIAL_END 46	47
384231.219	REC_STOP	47
385707.57019999996	REC_START	48
385707.60179999995	TRIAL_START 47	48
389073.4069	TRIAL_END 47	48
389073.4093	REC_STOP	48
390682.9656	REC_START	49
390683.0034	TRIAL_START 48	49
393971.2596	TRIAL_END 48	49
393971.2621	REC_STOP	49
395581.09249999997	REC_START	50
395581.1374	TRIAL_START 49	50
398780.4145	TRIAL_END 49	50
398780.4174	REC_STOP	50
400256.5234	REC_START	51
400256.55449999997	TRIAL_START 50	51
403888.4852	TRIAL_END 50	51
403888.4878	REC_STOP	51
405576.1622	REC_START	52
405576.19489999994	TRIAL_START 51	52
408897.71959999995	TRIAL_END 51	52
408897.7223	REC_STOP	52
410307.67649999994	REC_START	53
410307.71599999996	TRIAL_START 52	53
413573.52729999996	TRIAL_END 52	53
413573.5307	REC_STOP	53
